Title,Developer(s),Publisher(s),Release,Platform(s),Average score
Portal Companion Collection,"Valve, Nvidia Lightspeed Studios",Valve,June 28,NS,96
Elden Ring,FromSoftware,Bandai Namco Entertainment,February 25,"PS5, XSX",96
Persona 5 Royal,Atlus,Sega,October 21,Win,95
The Witcher 3: Wild Hunt - Complete Edition,CD Projekt Red,CD Projekt,December 14,PS5,94
Persona 5 Royal,Atlus,Sega,October 21,"NS, XSX",94
Elden Ring,FromSoftware,Bandai Namco Entertainment,February 25,Win,94
God of War Ragnarök,Santa Monica Studio,Sony Interactive Entertainment,November 9,PS5,94
Dwarf Fortress,Bay 12 Games,Kitfox Games,December 6,Win,93
The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,April 27,XSX,93
God of War,Jetpack Interactive,Sony Interactive Entertainment,January 14,Win,93
Chained Echoes,Matthias Linda,Deck13,December 8,Win,92
Cuphead in the Delicious Last Course,Studio MDHR,Studio MDHR,June 30,XBO,92
Persona 5 Royal,Atlus,Sega,October 21,PS5,91
Rogue Legacy 2,Cellar Door Games,Cellar Door Games,April 28,XSX,90
The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,gApril 27,Win,90
Neon White,Angel Matrix,Annapurna Interactive,June 16,Win,90
The Legend of Heroes: Trails from Zero,Nihon Falcom,NIS America,September 27,Win,90
